Nr.;BLZ;Institut;Ort;RZ;Organisation;HBCI-Zugang DNS;HBCI- Zugang     IP-Adresse;HBCI-Version;DDV;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;PIN/TAN-Zugang URL;Version;Datum letzte Änderung;;;;;
2;10010010;Deutsche Postbank AG;Berlin;eigenes Rechenzentrum;VÖB;;;2.2;;;;;;;;;;;;https://hbci.postbank.de/banking/hbci.do;HBCI 2.2 Erweiterung PIN/TAN V1.01;04.07.2005;;;;;
3;10010111;SEB AG;Berlin;eigenes Rechenzentrum;BdB;;193.243.184.115;2.0.1;;ja;;;;;;;;;;;;19.09.2005;;;;;
4;10020200;BHF-Bank AG;Berlin;BV Zahlungssysteme GmbH;BdB;hbciserver.bankverlag.de;nicht unterstützt;2.1;;ja;;;;;;;;;;https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp;FinTS V3.0;;;;;;
5;10020890;Bayerische Hypo- und Vereinsbank AG - HVB;Berlin;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;;;;;;;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;03.08.2005;;;;;
6;10020890;Bayerische Hypo- und Vereinsbank AG - HVB;Kleinmachnow;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;;;;;;;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;03.08.2005;;;;;
7;10020890;Bayerische Hypo- und Vereinsbank AG - HVB;Oranienburg;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;;;;;;;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;03.08.2005;;;;;
8;10020890;Bayerische Hypo- und Vereinsbank AG - HVB;Brandenburg an der Havel;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;;;;;;;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;03.08.2005;;;;;
9;10020890;Bayerische Hypo- und Vereinsbank AG - HVB;Königs Wusterhausen;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;;;;;;;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;03.08.2005;;;;;
10;10020890;Bayerische Hypo- und Vereinsbank AG - HVB;Fürstenwalde /Spree;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;;;;;;;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;03.08.2005;;;;;
11;10030500;Bankhaus Löbbecke & Co.;Berlin;B+S Banksysteme AG;BdB;loebbecke-bank.de;188.21.13.37;2.1;;ja;ja;;;;;;ja;;ja;https://loebbecke-bank.de/fints/;FinTS V3.0;07.03.2011;;;;;
